,Date,Time,Social media,Call centre,Branch,RHB Internet Banking,RHB Mobile Banking Application,Relationship managers / Personal Bankers,"ATM, Cash Deposit Machines",Feedback,Sentiment Score,Rating,Product
0,8/27/2020,16:42:24,No,No,Yes,No,No,No,No,careline line difficult answer fixed,9.52%,7,CASA
1,8/27/2020,17:22:33,No,No,No,No,No,No,Yes,atm rhb jasin melaka,50.00%,6,CASA
2,8/27/2020,17:50:17,No,No,No,No,Yes,No,Yes,grade apps,50.00%,6,CASA
3,8/27/2020,20:12:19,No,No,Yes,No,No,No,Yes,maintaining service like gift something good using rhb,6.46%,10,CASA
4,8/27/2020,20:14:36,No,No,No,Yes,No,No,No,hope improve mobile app faction link branch account immediate,50.00%,5,CASA
5,8/27/2020,21:47:58,No,No,Yes,Yes,No,No,Yes,leave short message notification transaction output entry user know every transaction performed,89.44%,7,CASA
6,8/27/2020,23:03:57,No,No,No,Yes,No,No,No,online connection server request thumb print login rhb apps,22.12%,10,CASA
7,8/27/2020,22:50:50,No,No,Yes,No,Yes,Yes,No,suddenly waiting long time improve service,50.00%,8,CASA
8,8/27/2020,23:26:20,No,Yes,No,Yes,Yes,No,No,mobile internet banking key wrong password time suggest alternative method unlock account unlocked via call customer service unlock without password change quite inconvenience account lock call customer service unlock without password change,95.61%,8,CASA
9,8/28/2020,0:03:48,No,No,No,No,No,No,Yes,unable reregistration online mobile apps first get registered recommended go johor sentosa rhb branch ask register say line slow go back back lot time ready register yet supposed bank assist u make happen online banking recommended,3.79%,7,CASA
10,8/28/2020,1:35:15,No,No,No,No,No,No,Yes,service tightened give monthly annual gift,14.64%,10,CASA
11,8/28/2020,1:36:47,No,No,No,No,Yes,No,No,order rhb continue banking continue trusted,5.30%,10,CASA
12,8/28/2020,7:08:03,No,Yes,No,Yes,Yes,No,No,improve mobile app,50.00%,6,CASA
13,8/28/2020,8:56:33,No,No,No,Yes,Yes,No,Yes,comment,50.00%,8,CASA
14,8/28/2020,9:18:53,No,No,Yes,Yes,No,No,No,opening new account took hour officer improved,50.00%,7,CASA
15,8/28/2020,10:56:47,No,No,No,Yes,No,No,Yes,call center must lift phone answer politely,88.70%,9,CASA
16,8/28/2020,13:30:42,No,No,Yes,Yes,Yes,No,Yes,apps smartphone see account balance current account company please upgrade easy use,83.87%,7,CASA
